name,ring,quadrant,isNew,description
Container security scanning,assess,techniques,FALSE,"<p>The container revolution around <a href=""/radar/platforms/docker"">Docker</a> has massively reduced the friction in moving applications between environments, fueling increased adoption of continuous delivery and continuous deployments. The latter, especially, has blown a rather large hole in the traditional controls over what can go to production. The technique of <strong>container security scanning</strong> is a necessary response to this threat vector. Tools in the build pipeline automatically check containers flowing through the pipeline against known vulnerabilities. Since our first mention of this technique, the tool landscape has matured and the technique has proven useful on development efforts with our clients.</p>"
Service mesh,trial,techniques,FALSE,"<p><strong>Service mesh</strong> is an approach to operating a secure, fast and reliable microservices ecosystem. It has been an important stepping stone in making it easier to adopt microservices at scale. It offers discovery, security, tracing, monitoring and failure handling. It provides these cross-functional capabilities without the need for a shared asset such as an API gateway or baking libraries into each service. A typical implementation involves lightweight reverse-proxy processes, aka sidecars, deployed alongside each service process in a separate container. Sidecars intercept the inbound and outbound traffic of each service and provide cross-functional capabilities mentioned above. This approach has relieved the distributed service teams from building and updating the capabilities that the mesh offers as code in their services. This has lead to an even easier adoption of <a href=""/radar/techniques/polyglot-programming"">polyglot programming</a> in a microservices ecosystem. Our teams have been successfully using this approach with open source projects such as <a href=""/radar/platforms/istio"">Istio</a> and we will continue to monitor other open service mesh implementations such as <a href=""http://linkerd.io/"">Linkerd</a> closely.</p>"
Templating in YAML,hold,techniques,FALSE,"<p>As infrastructures grow in complexity, so do the configuration files that define them. Tools such as <a href=""https://aws.amazon.com/cloudformation/"">AWS CloudFormation</a>, <a href=""/radar/platforms/kubernetes"">Kubernetes</a> and <a href=""/radar/tools/helm"">Helm</a> expect configuration files in JSON or YAML syntax, presumably in an attempt to make them easy to write and process. However, in most cases, teams quickly reach the point where they have some parts that are similar but not quite the same, for example, when the same service must be deployed in different regions with a slightly different setup. For such cases tools offer <strong>templating in YAML</strong> (or JSON), which has caused a huge amount of <a href=""https://leebriggs.co.uk/blog/2019/02/07/why-are-we-templating-yaml.html"">frustration with practitioners</a>. The problem is that the syntax of JSON and YAML requires all sorts of awkward compromises to graft templating features such as conditionals and loops into the files. We recommend using an API from a programming language instead or, when this is not an option, a templating system in a programming language, either a general-purpose language such as Python or something specialized such as <a href=""https://jsonnet.org/"">Jsonnet</a>.</p>"
OAuth,assess,techniques,FALSE,<p> In progress... </p>
"Verificación continua de vulnerabilidades (Sonar, etc..)​",adopt,techniques,FALSE,<p> In progress... </p>
"Tecnicas de seguridad por protocolo (Http: Headers de Seguridad, etc..)​",trial,techniques,FALSE,<p> In progress... </p>
Uso adecuado de algoritmos y protocolos de cifrado​,trial,techniques,FALSE,<p> In progress... </p>
Consideraciones de seguridad en aplicaciones cloud native​,trial,techniques,FALSE,<p> In progress... </p>
Strong eventual consistency (ACID 2.0)​,trial,techniques,FALSE,<p> In progress... </p>
CQRS,trial,techniques,FALSE,<p> In progress... </p>
Conflic free replicated data types (CRDTs)​,trial,techniques,FALSE,<p> In progress... </p>
coherencia y uso efectivo de caches​,trial,techniques,FALSE,<p> In progress... </p>
Garantía de Consistencia en transacciones y procesos distribuidos​,trial,techniques,FALSE,<p> In progress... </p>
Transacciones de compensación --> Saga pattern ​,trial,techniques,FALSE,<p> In progress... </p>
Immutable data / Append-Only Apps​,trial,techniques,FALSE,<p> In progress... </p>
Limitaciones y características de distintos modelos de datos distribuidos SQL/NoSQL​,assess,techniques,FALSE,<p> In progress... </p>
Retry and idempotence,adopt,techniques,FALSE,<p> In progress... </p>
Location Transparency​,trial,techniques,FALSE,<p> In progress... </p>
Fault tolerance and recovery patterns​,trial,techniques,FALSE,<p> In progress... </p>
Supervisión externa a nivel de proceso (Health check/K8s) *probe ​,adopt,techniques,FALSE,<p> In progress... </p>
Self Healing deployments (Container orchestation)​,adopt,techniques,FALSE,<p> In progress... </p>
Concurrency safe code​,adopt,techniques,FALSE,<p> In progress... </p>
Fault isolation / Isolate all the things --> Bulkheading.,trial,techniques,FALSE,<p> In progress... </p>
Traceable and observable systems / logs management (Back/front) (Observabilidad/auditoría),trial,techniques,FALSE,<p> In progress... </p>
Fallback strategy and Circuit breakers​,trial,techniques,FALSE,<p> In progress... </p>
Replication and redundance,trial,techniques,FALSE,<p> In progress... </p>
Uso de Flujos asíncronos y no bloqueantes,trial,techniques,FALSE,<p> In progress... </p>
Event Sourcing​,trial,techniques,FALSE,<p> In progress... </p>
Event first Domain driven design​,trial,techniques,FALSE,<p> In progress... </p>
"Event Streaming Platforms (Event streams) / ""data at rest"" to ""data in motion.""​",trial,techniques,FALSE,<p> In progress... </p>
Event driven architecture (Commands and Events)​,trial,techniques,FALSE,<p> In progress... </p>
Fuctional reactive programming​,trial,techniques,FALSE,<p> In progress... </p>
"Message Retry strategies: Dead letters, queue backlogs.., manual message retry​",trial,techniques,FALSE,<p> In progress... </p>
Elastic (Auto scale out/down) deployments –> Container Orchestation​,adopt,techniques,FALSE,<p> In progress... </p>
Modelos de concurrencia optimizados para asíncronismo y alta concurrencia​,trial,techniques,FALSE,<p> In progress... </p>
Reactive programming​,trial,techniques,FALSE,<p> In progress... </p>
"Protocolos de comunicación modernos (gRPC, Rsocket, etc..)​",trial,techniques,FALSE,<p> In progress... </p>
Database connection pool sizing,trial,techniques,FALSE,<p> In progress... </p>
End to end reactive/non-blocking flow​,trial,techniques,FALSE,<p> In progress... </p>
Enfoque declarativo y funcional,trial,techniques,FALSE,<p> In progress... </p>
Estructura centrada en el dominio​,adopt,techniques,FALSE,<p> In progress... </p>
Diseño de APIs / Contratos definidos,trial,techniques,FALSE,<p> In progress... </p>
Manejar patrones y abstraciones funcionales (Para sistemas reactivos y No Reactivos)​,trial,techniques,FALSE,<p> In progress... </p>
Patrones y abstraciones para el reuso (Refactor)​,trial,techniques,FALSE,<p> In progress... </p>
Listado de code smells (clean code and Refactoring),adopt,techniques,FALSE,<p> In progress... </p>
Tamaño maximo de clases y funciones​,adopt,techniques,FALSE,<p> In progress... </p>
Rapid proyect onboarding / Boilerplate / reference project structures / generators ​,trial,techniques,FALSE,<p> In progress... </p>
Complejidad ciclomática máxima ​,adopt,techniques,FALSE,<p> In progress... </p>
Principios SOLID / Inversion de dependencias / inyección de dependencias​,adopt,techniques,FALSE,<p> In progress... </p>
Constant code reviews​,adopt,techniques,FALSE,<p> In progress... </p>
Test driven development​,adopt,techniques,FALSE,<p> In progress... </p>
Architectural fitness function as continous validation tool​,trial,techniques,FALSE,<p> In progress... </p>
Bounded context as microservices,assess,techniques,FALSE,<p> In progress... </p>
Domain contexts instead of Layered Silos​,trial,techniques,FALSE,<p> In progress... </p>
Orientación a mensajes vs Orientación a servicios síncronos,trial,techniques,FALSE,<p> In progress... </p>
Mapeo del Diseño estratégico DDD desde la arquitectura empresarial (Context Map),assess,techniques,FALSE,<p> In progress... </p>
Licence compliance​,adopt,techniques,FALSE,<p> In progress... </p>
Criterios de evaluacion para el uso​ de Open Source,adopt,techniques,FALSE,<p> In progress... </p>
Gobierno de la contribuión adecuada​,trial,techniques,FALSE,<p> In progress... </p>
